doc_idx,true_label,kmeans_k2_s0,kmeans_k2_s1,kmeans_k2_s2,kmeans_k5_s0,kmeans_k5_s1,kmeans_k5_s2,kmeans_k10_s0,kmeans_k10_s1,kmeans_k10_s2,kmeans_k20_s0,kmeans_k20_s1,kmeans_k20_s2,gmm_k2_s0,gmm_k2_s1,gmm_k2_s2,gmm_k5_s0,gmm_k5_s1,gmm_k5_s2,gmm_k10_s0,gmm_k10_s1,gmm_k10_s2,gmm_k20_s0,gmm_k20_s1,gmm_k20_s2,spectral_k2_s0,spectral_k2_s1,spectral_k2_s2,spectral_k5_s0,spectral_k5_s1,spectral_k5_s2,spectral_k10_s0,spectral_k10_s1,spectral_k10_s2,spectral_k20_s0,spectral_k20_s1,spectral_k20_s2,ward_k2,ward_k5,ward_k10,ward_k20,leiden_k2_s0,leiden_k2_s1,leiden_k2_s2,leiden_k5_s0,leiden_k5_s1,leiden_k5_s2,leiden_k10_s0,leiden_k10_s1,leiden_k10_s2,leiden_k20_s0,leiden_k20_s1,leiden_k20_s2
566,sport,1,0,0,3,0,0,6,9,2,14,9,2,1,0,0,1,0,3,1,9,9,1,9,9,1,1,1,4,1,4,3,3,5,7,8,12,1,2,3,4,1,1,1,4,4,4,9,9,8,12,10,12
567,entertainment,1,1,1,1,4,3,1,8,7,1,12,13,0,1,1,2,4,2,5,4,6,17,11,6,0,0,0,1,3,2,9,5,3,6,9,11,1,1,2,2,0,0,0,0,1,1,1,1,1,9,12,10
568,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,18,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
569,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
570,tech,1,1,1,1,4,3,1,8,7,1,12,17,0,1,1,2,4,2,5,4,6,17,11,6,0,0,0,1,3,2,9,5,3,6,9,11,2,4,8,13,0,0,0,0,1,1,1,1,1,9,12,10
571,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,2,4,6,16,10,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,14
572,business,1,1,1,1,4,3,1,8,8,19,8,8,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
573,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,11,9,9
574,business,1,1,1,4,1,1,7,4,5,19,15,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
575,tech,1,1,1,1,4,3,1,8,7,9,11,13,0,1,1,2,4,2,5,4,6,17,11,6,0,0,0,1,3,2,9,5,3,3,11,18,2,5,10,19,0,0,0,0,1,1,1,1,1,11,9,9
576,sport,1,0,0,3,0,0,3,3,4,13,7,4,1,0,0,3,3,0,3,3,0,12,10,12,1,1,1,3,2,1,5,6,6,9,6,15,1,2,5,7,1,1,1,3,3,3,6,6,2,3,6,5
577,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,11,9,9
578,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,7,4,2,19,11,0,0,0,1,3,2,1,2,4,2,2,16,1,1,2,3,0,0,0,0,2,2,7,7,6,6,8,7
579,politics,0,1,1,0,2,4,4,1,3,16,16,3,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,10,3,4
580,sport,1,0,0,3,0,0,6,3,4,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
581,sport,1,0,0,3,0,0,6,9,2,14,9,2,1,0,0,1,0,3,1,9,9,1,9,9,1,1,1,4,1,4,3,3,5,7,8,12,1,2,3,4,1,1,1,4,4,4,9,9,8,12,10,12
582,tech,1,1,1,1,4,3,1,8,8,19,17,8,0,1,1,2,4,2,9,4,2,9,17,2,0,0,0,1,3,2,9,5,3,18,0,17,2,4,8,14,0,0,0,0,1,1,1,1,9,13,13,15
583,sport,1,0,0,3,0,0,6,2,0,6,2,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
584,tech,1,0,0,1,4,0,3,8,8,13,8,4,1,0,0,3,3,0,3,3,0,12,10,12,1,1,1,3,2,1,5,6,6,9,6,15,2,4,8,15,1,1,1,3,3,3,6,6,2,3,6,5
585,business,1,1,1,4,1,1,8,6,1,17,14,10,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,8
586,business,1,1,1,4,1,1,7,4,5,7,15,11,0,1,1,4,1,1,7,6,7,16,6,14,0,0,0,0,0,0,8,4,0,15,18,0,2,5,9,18,0,0,0,1,0,0,2,2,3,17,18,17
587,tech,1,1,1,1,4,3,1,8,8,9,8,7,0,1,1,2,4,2,5,4,8,18,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
588,tech,1,1,1,1,4,3,1,8,7,1,12,17,0,1,1,2,4,2,5,4,6,17,11,6,0,0,0,1,3,2,9,5,3,6,9,11,2,4,8,13,0,0,0,0,1,1,1,1,1,9,12,10
589,politics,0,1,1,0,2,4,0,1,3,0,13,3,0,1,1,0,1,4,0,5,5,0,15,13,0,0,0,0,0,0,0,0,2,11,17,4,2,3,7,10,0,0,0,2,0,0,0,0,0,10,14,4
590,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,11,9,9
591,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,2,4,6,2,10,0,0,0,1,3,2,1,2,4,19,14,19,1,1,2,2,0,0,0,0,2,2,3,3,4,18,17,14
592,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,20,0,0,0,1,0,0,4,4,5,5,4,8
593,tech,1,1,1,1,4,3,1,8,8,9,8,7,0,1,1,2,4,2,5,4,8,18,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
594,tech,1,1,1,1,4,3,1,8,8,9,8,7,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
595,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,7,4,2,19,11,0,0,0,1,3,2,1,2,4,2,2,16,1,1,2,3,0,0,0,0,2,2,7,7,6,6,8,7
596,tech,1,1,1,1,4,3,5,8,3,5,10,13,0,1,1,2,4,2,5,4,6,15,18,6,0,0,0,0,0,0,9,5,3,16,16,14,2,5,10,20,0,0,0,1,0,0,4,4,5,9,11,18
597,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,7,4,2,19,11,0,0,0,1,3,2,1,2,4,2,2,16,1,1,2,3,0,0,0,0,2,2,7,7,6,6,8,7
598,business,1,1,1,4,1,1,5,6,1,4,6,11,0,1,1,4,1,1,7,1,1,10,1,17,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,20,0,0,0,1,0,0,4,4,5,15,11,11
599,tech,1,1,1,1,4,3,1,8,8,19,8,8,0,1,1,2,4,2,9,4,2,9,14,19,0,0,0,1,3,2,9,5,3,16,16,14,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
600,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
601,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
602,sport,1,0,0,3,0,0,3,7,4,3,7,18,1,0,0,3,3,0,3,3,0,12,10,12,1,1,1,3,2,1,5,6,6,9,6,15,1,2,5,7,1,1,1,3,3,3,6,6,2,3,6,5
603,entertainment,1,1,1,1,4,3,2,8,8,2,19,9,0,1,1,2,2,2,2,7,4,2,19,11,0,0,0,1,3,2,1,2,4,2,2,16,2,4,8,15,0,0,0,0,2,2,7,7,6,6,8,7
604,politics,0,1,1,0,2,4,0,1,3,12,18,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
605,sport,1,0,0,3,0,0,6,2,4,6,2,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
606,business,1,1,1,4,1,1,7,4,5,17,14,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
607,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,8,10,7,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
608,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,13,13,3,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,8
609,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,7,4,2,7,11,0,0,0,1,3,2,1,2,4,2,2,16,1,1,2,3,0,0,0,0,2,2,7,7,6,6,8,7
610,politics,0,1,1,0,2,4,4,1,6,16,16,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
611,politics,0,1,1,0,2,4,0,1,3,0,13,3,0,1,1,0,1,4,0,5,5,0,15,13,0,0,0,0,0,0,0,0,2,11,17,4,2,3,7,12,0,0,0,2,0,0,0,0,0,10,14,4
612,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,18,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
613,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,8
614,entertainment,1,1,1,2,3,2,2,5,9,2,19,13,0,1,1,2,2,2,2,2,4,6,2,10,0,0,0,1,3,2,1,2,4,19,14,19,1,1,2,2,0,0,0,0,2,2,3,3,4,18,17,14
615,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
616,sport,1,0,0,3,0,0,6,3,4,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
617,business,1,1,1,4,1,1,7,4,5,17,14,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,10,20,0,0,0,1,0,0,2,2,3,1,1,1
618,sport,1,0,0,3,0,0,6,3,0,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
619,business,1,1,1,4,1,1,7,4,5,17,4,10,0,1,1,4,1,1,4,6,7,7,12,7,0,0,0,0,0,0,8,4,0,12,15,9,2,5,9,17,0,0,0,1,0,0,2,2,3,16,16,16
620,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,10,1,17,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,20,0,0,0,1,0,0,4,4,5,15,11,11
621,tech,1,1,1,1,4,3,1,8,8,10,8,7,0,1,1,2,4,2,5,4,8,18,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
622,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,7,4,2,7,11,0,0,0,1,3,2,1,2,4,2,2,16,1,1,2,3,0,0,0,0,2,2,7,7,6,6,8,7
623,tech,1,1,1,1,4,3,1,8,7,1,12,17,0,1,1,2,4,2,5,4,6,17,11,6,0,0,0,1,3,2,9,5,3,6,9,11,2,4,8,13,0,0,0,0,1,1,1,1,1,9,12,10
624,sport,1,0,0,3,0,0,6,2,4,6,2,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
625,sport,1,0,0,3,0,0,6,0,0,14,0,19,1,0,0,1,0,3,8,0,3,19,0,3,1,1,1,2,4,3,7,8,9,5,3,10,1,2,4,6,1,1,1,4,4,4,8,8,7,19,19,19
626,politics,0,1,1,0,2,4,4,1,6,12,18,6,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,11,0,0,0,2,0,0,0,0,0,4,7,0
627,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,9,4,2,9,14,19,0,0,0,1,3,2,9,5,3,16,16,14,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
628,politics,0,1,1,0,2,4,4,1,6,12,18,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
629,sport,1,0,0,3,0,0,6,2,4,6,2,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
630,sport,1,0,0,3,0,0,6,2,0,6,2,0,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
631,business,1,1,1,4,1,1,1,8,8,19,14,8,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
632,politics,0,1,1,0,2,4,4,1,6,18,16,6,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,9,0,0,0,2,0,0,0,0,0,8,3,0
633,business,1,1,1,4,1,1,7,4,5,17,2,10,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
634,tech,1,1,1,1,4,3,1,8,7,1,12,17,0,1,1,2,4,2,5,4,6,17,11,6,0,0,0,1,3,2,9,5,3,6,9,11,2,4,8,13,0,0,0,0,1,1,1,1,1,9,12,10
635,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,11,9,9
636,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,8,10,7,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
637,entertainment,1,1,1,2,3,2,5,5,9,15,5,13,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,13,13,9
638,business,1,1,1,4,1,1,5,6,1,4,6,11,0,1,1,4,1,1,7,1,1,10,1,17,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,20,0,0,0,1,0,0,4,4,5,15,11,11
639,sport,1,0,0,3,0,0,6,0,0,11,0,19,1,0,0,1,0,3,8,0,3,19,0,3,1,1,1,2,4,3,7,8,9,5,3,10,1,2,4,6,1,1,1,4,4,4,8,8,7,19,19,19
640,tech,1,1,1,1,4,3,1,8,8,9,8,7,0,1,1,2,4,2,5,4,6,18,4,15,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
641,sport,1,0,0,3,0,0,3,7,4,3,7,18,1,0,0,3,3,0,3,3,0,12,10,12,1,1,1,3,2,1,5,6,6,9,6,15,1,2,5,7,1,1,1,3,3,3,6,6,2,3,6,5
642,business,1,1,1,4,1,1,7,4,5,17,14,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
643,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,11,9,9
644,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,8
645,sport,1,0,0,3,0,0,3,3,4,13,7,18,1,0,0,3,3,0,3,3,0,12,10,12,1,1,1,3,2,1,5,6,6,9,6,15,1,2,6,8,1,1,1,3,3,3,6,6,2,3,6,5
646,business,1,1,1,4,1,1,7,4,5,5,15,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
647,sport,1,0,0,3,0,0,6,2,0,6,2,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
648,sport,1,0,0,3,0,0,6,2,4,6,2,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
649,politics,0,1,1,0,2,4,4,1,6,18,1,6,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,9,0,0,0,2,0,0,0,0,0,8,3,0
650,sport,1,0,0,3,0,0,6,9,2,14,9,2,1,0,0,1,0,3,1,9,9,1,9,9,1,1,1,4,1,4,3,3,5,7,8,12,1,2,3,4,1,1,1,4,4,4,9,9,8,12,10,12
651,politics,0,1,1,0,2,4,4,1,6,18,18,6,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,9,0,0,0,2,0,0,0,0,0,4,7,0
652,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,6,7,4,6,16,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,11
653,politics,0,0,0,0,2,4,0,1,3,12,18,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
654,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,8,10,7,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
655,sport,1,0,0,3,0,0,6,3,0,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
656,business,1,1,1,4,4,1,5,4,5,5,11,10,0,1,1,2,4,2,5,4,8,5,4,8,0,0,0,0,0,0,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
657,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
658,sport,1,0,0,3,0,0,6,3,4,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
659,sport,1,0,0,3,0,0,6,9,2,14,9,2,1,0,0,1,0,3,1,9,9,1,9,9,1,1,1,4,1,4,3,3,5,7,8,12,1,2,3,4,1,1,1,4,4,4,9,9,8,12,10,12
660,sport,1,0,0,3,0,0,6,0,2,11,0,15,1,0,0,1,0,3,8,0,3,8,0,3,1,1,1,2,4,3,4,7,8,10,4,8,1,2,4,5,1,1,1,4,4,4,8,8,7,14,15,13
661,business,0,1,1,0,2,4,5,6,3,4,16,11,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,8,4,0,15,18,0,2,3,7,11,0,0,0,2,0,0,0,0,0,8,3,4
662,entertainment,1,0,0,2,3,2,2,5,9,2,19,9,0,1,1,2,2,2,2,2,4,6,2,10,0,0,0,1,3,2,1,2,4,2,2,16,1,1,2,2,0,0,0,0,2,2,7,7,6,6,8,7
663,tech,1,1,1,1,4,3,1,8,8,10,8,8,0,1,1,2,4,2,9,4,2,18,14,19,0,0,0,1,3,2,9,5,3,16,16,14,2,4,8,14,0,0,0,0,1,1,1,1,1,7,5,6
664,politics,0,1,1,0,2,4,0,1,3,0,13,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
665,sport,1,0,0,3,0,0,6,0,2,11,0,15,1,0,0,1,0,3,8,0,3,8,0,3,1,1,1,2,4,3,4,7,8,10,4,8,1,2,4,5,1,1,1,4,4,4,8,8,7,14,15,13
666,tech,1,1,1,1,4,3,1,8,8,9,8,7,0,1,1,2,4,2,5,4,6,17,11,15,0,0,0,1,3,2,9,5,3,3,19,18,1,1,2,3,0,0,0,0,1,1,1,1,1,11,9,9
667,sport,1,0,0,3,0,0,6,3,4,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
668,sport,1,0,0,3,0,0,6,9,2,14,9,2,1,0,0,1,0,3,1,9,9,1,9,9,1,1,1,4,1,4,3,3,5,7,8,12,1,2,3,4,1,1,1,4,4,4,9,9,8,12,10,12
669,politics,0,1,1,0,2,4,4,1,6,12,18,6,0,1,1,0,1,4,0,5,5,13,5,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,9,0,0,0,2,0,0,0,0,0,4,7,0
670,business,1,1,1,4,1,1,7,4,5,5,4,10,0,1,1,4,1,1,4,6,7,7,12,7,0,0,0,0,0,0,8,4,0,12,15,9,2,5,9,18,0,0,0,1,0,0,2,2,3,16,16,16
671,entertainment,1,0,0,2,3,2,9,5,9,15,5,12,0,1,1,2,2,2,6,8,4,11,8,4,0,0,0,1,3,2,1,2,4,19,14,19,1,1,1,1,0,0,0,0,2,2,3,3,4,0,0,3
672,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,8
673,politics,0,1,1,0,2,4,4,1,6,12,18,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
674,sport,1,0,0,3,0,0,3,7,4,3,7,18,1,0,0,3,3,0,3,3,0,12,10,12,1,1,1,3,2,1,5,6,6,9,6,15,1,2,5,7,1,1,1,3,3,3,6,6,2,3,6,5
675,politics,0,1,1,0,2,4,4,1,6,16,16,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
676,tech,1,1,1,1,4,3,1,8,8,10,11,7,0,1,1,2,4,2,5,4,8,18,4,8,0,0,0,1,3,2,9,5,3,17,11,2,2,4,8,15,0,0,0,0,1,1,1,1,1,7,5,6
677,politics,0,0,0,0,2,4,0,1,6,12,18,14,0,1,1,0,1,4,0,5,5,0,15,5,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,12,0,0,0,2,0,0,0,0,0,4,7,0
678,sport,1,0,0,3,0,0,6,3,4,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
679,sport,1,0,0,3,0,0,6,9,2,14,9,2,1,0,0,1,0,3,1,9,9,1,9,9,1,1,1,4,1,4,3,3,5,7,8,12,1,2,3,4,1,1,1,4,4,4,9,9,8,12,10,12
680,business,1,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,15,18,0,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,11
681,business,1,1,1,4,1,1,7,4,5,17,15,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
682,politics,0,1,1,0,2,4,4,1,6,18,18,6,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,9,0,0,0,2,0,0,0,0,0,4,7,0
683,tech,1,1,1,1,4,3,1,8,7,1,11,7,0,1,1,2,4,2,5,4,6,17,11,15,0,0,0,1,3,2,9,5,3,3,19,18,2,4,8,15,0,0,0,0,1,1,1,1,1,11,9,9
684,business,1,1,1,4,1,1,7,4,5,17,14,10,0,1,1,4,1,1,4,6,7,4,6,16,0,0,0,0,0,0,8,4,0,1,5,6,2,5,9,18,0,0,0,1,0,0,2,2,3,1,1,1
685,politics,0,1,1,0,2,4,4,1,6,12,18,6,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,9,0,0,0,2,0,0,0,0,0,4,7,0
686,sport,1,0,0,3,0,0,6,2,4,6,3,16,1,0,0,3,3,0,3,3,0,3,3,0,1,1,1,3,2,1,2,1,1,4,12,1,1,2,6,8,1,1,1,3,3,3,5,5,2,2,2,2
687,politics,0,1,1,0,2,4,5,1,3,4,16,3,0,1,1,0,1,4,0,5,5,13,5,18,0,0,0,0,0,0,0,0,2,0,1,5,2,3,7,11,0,0,0,2,0,0,0,0,0,8,3,4
688,business,0,1,1,4,1,1,8,6,1,8,6,1,0,1,1,4,1,1,7,1,1,14,13,1,0,0,0,0,0,0,8,4,0,13,13,3,2,5,10,19,0,0,0,1,0,0,4,4,5,5,4,8
